"Server name","IP addresses","Cores","Memory (In MB)","OS name","OS version","OS architecture","Server type","Hypervisor","CPU utilization percentage","Peak CPU utilization percentage","Memory utilization percentage","Peak memory utilization percentage","Network In throughput (MB per second)","Peak Network In throughput (MB per second)","Network Out throughput (MB per second)","Peak Network Out throughput (MB per second)","Boot Type","Number of disks","Storage in use (In GB)"
"WIN-DEMO-APP01","","4","8192","Microsoft Windows Server 2016 (64-bit)","2016","64-bit","Virtual","Vmware","3.63","8.81","9.99","14.99","0","0.04","0","0.03","UEFI","1","68.09"
"WIN-DEMO-APP03","","2","4096","Microsoft Windows Server 2019 (64-bit)","2019","64-bit","Virtual","Vmware","4.12","14.64","15.99","21.99","0","0.01","0","0.03","UEFI","2","94.08"
"Test","","2","4096","Microsoft Windows Server 2019 (64-bit)","2019","64-bit","Virtual","Vmware","0.63","8.92","13.99","22.99","0","0","0","0.03","UEFI","1","44.08"
