"Server name","Cluster","IP addresses","PowerState","Cores","Memory (In MB)","OS name","OS version","OS architecture","Server type","Hypervisor","CPU utilization percentage average","CPU utilization percentage maximum","CPU ready percentage average","CPU ready percentage maximum","Memory utilization percentage average","Memory utilization percentage maximum","Memory balloon average (MB)","Memory balloon maximum (MB)","Network adapters","Network In throughput average (MB per second)","Network In throughput maximum (MB per second)","Network Out throughput average (MB per second)","Network Out throughput maximum (MB per second)","Boot Type","Number of disks","Storage in use (In GB)","Disk 1 size (In GB)","Disk 1 read throughput average (MB per second)","Disk 1 read throughput maximum (MB per second)","Disk 1 write throughput average (MB per second)","Disk 1 write throughput maximum (MB per second)","Disk 1 read ops average (operations per second)","Disk 1 read ops maximum (operations per second)","Disk 1 write ops average (operations per second)","Disk 1 write ops maximum (operations per second)","Disk 1 data status","Disk 2 size (In GB)","Disk 2 read throughput average (MB per second)","Disk 2 read throughput maximum (MB per second)","Disk 2 write throughput average (MB per second)","Disk 2 write throughput maximum (MB per second)","Disk 2 read ops average (operations per second)","Disk 2 read ops maximum (operations per second)","Disk 2 write ops average (operations per second)","Disk 2 write ops maximum (operations per second)","Disk 2 data status"
"WIN-DEMO-APP01","(standalone ESXi)","","PoweredOn","4","8192","Microsoft Windows Server 2016 (64-bit)","2016","64-bit","Virtual","Vmware","1.06","10.18","0.09","0.42","36.7","92.99","0","0","1","0","0.07","0","0.01","UEFI","1","68.09","60","0.45","4.58","0.03","0.27","17.87","167","3.3","16","OK",,,,,,,,,,
"test","(standalone ESXi)","","PoweredOn","2","4096","Microsoft Windows Server 2019 (64-bit)","2019","64-bit","Virtual","Vmware","0.75","12.59","0.06","0.34","36.7","92.99","0","0","1","0","0","0","0","UEFI","2","94.08","40","0.14","2.08","0.4","11.6","5","60","3.87","60","OK","50","0","0","0","0","0.6","1","0.6","1","OK"
