Fully qualified domain name,Instance Name,Database Name,Database Status,SQL Edition,SQL Version,Logical CPU Count,Hyperthread Ratio,Estimated CPU package count,Is FCI Enabled,SQL network name (FCI virtual name),Max server memory (in MB),Service pack,IS AG enabled,Service status,Is database highly available,Database size (in MB),Data file size (in MB),Log file size (in MB),Compatibility level,Percent growth files present,Database file configuration,Database physical file paths,Availability group name,Availability group type,Availability replica name,Commit mode,Replica type,Is primary replica,Replica state,Is AG multi subnet,AG replica sync status,Linked server count,Linked servers,Linked server dependency count,Linked server dependencies,Linked server discovery warning,SSIS catalog present,SSIS package count,SSIS packages,Legacy SSIS package count,Legacy SSIS packages,SSIS SQL Agent job step count,SSIS SQL Agent jobs,SSIS last execution,SSIS active packages (90d),SSIS executions (90d),SSIS top packages (90d),SSIS discovery warning,SSRS ReportServer present,SSRS report count,SSRS reports,SSRS subscription count,SSRS subscriptions,SSRS last subscription run,SSRS active reports (90d),SSRS executions (90d),SSRS top reports (90d),SSRS discovery warning
WIN-DEMO-APP01.mstar.lab,WIN-DEMO-APP01,NatDbMStar,ONLINE,Developer Edition (64-bit),13.0.5026.0,4,1,4,FALSE,,6144,SP2,TRUE,Running,TRUE,16.00,8.00,8.00,130,FALSE,NatDbMStar [ROWS] Size=8.00 MB; Max=UNLIMITED; Growth=64.00 MB; NatDbMStar_log [LOG] Size=8.00 MB; Max=2097152.00 MB; Growth=64.00 MB,ROWS: C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\NatDbMStar.mdf; LOG: C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\NatDbMStar_log.ldf,MSTAR-AG,REGULAR,WIN-DEMO-APP01,ASYNCHRONOUS_COMMIT,PRIMARY,TRUE,ONLINE,FALSE,SYNCHRONIZED,1,WIN-DEMO-APP03 [SQLNCLI] -> WIN-DEMO-APP03,0,,,TRUE,0,,9,MSTAR_Test; PerfCountersCollect; PerfCountersUpload; QueryActivityCollect; QueryActivityUpload; SqlTraceCollect; SqlTraceUpload; TSQLQueryCollect; TSQLQueryUpload,0,,NULL,0,0,,,TRUE,0,,0,,NULL,0,0,,
WIN-DEMO-APP01.mstar.lab,WIN-DEMO-APP01,NatDbMStar-Outbox,ONLINE,Developer Edition (64-bit),13.0.5026.0,4,1,4,FALSE,,6144,SP2,TRUE,Running,TRUE,16.00,8.00,8.00,130,FALSE,NatDbMStar-Outbox [ROWS] Size=8.00 MB; Max=UNLIMITED; Growth=64.00 MB; NatDbMStar-Outbox_log [LOG] Size=8.00 MB; Max=2097152.00 MB; Growth=64.00 MB,ROWS: C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\NatDbMStar-Outbox.mdf; LOG: C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\NatDbMStar-Outbox_log.ldf,MSTAR-AG,REGULAR,WIN-DEMO-APP01,ASYNCHRONOUS_COMMIT,PRIMARY,TRUE,ONLINE,FALSE,SYNCHRONIZED,1,WIN-DEMO-APP03 [SQLNCLI] -> WIN-DEMO-APP03,0,,,TRUE,0,,9,MSTAR_Test; PerfCountersCollect; PerfCountersUpload; QueryActivityCollect; QueryActivityUpload; SqlTraceCollect; SqlTraceUpload; TSQLQueryCollect; TSQLQueryUpload,0,,NULL,0,0,,,TRUE,0,,0,,NULL,0,0,,
WIN-DEMO-APP01.mstar.lab,WIN-DEMO-APP01,ReportServer,ONLINE,Developer Edition (64-bit),13.0.5026.0,4,1,4,FALSE,,6144,SP2,TRUE,Running,FALSE,80.00,8.00,72.00,130,FALSE,ReportServer [ROWS] Size=8.00 MB; Max=UNLIMITED; Growth=64.00 MB; ReportServer_log [LOG] Size=72.00 MB; Max=2097152.00 MB; Growth=64.00 MB,ROWS: C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\ReportServer.mdf; LOG: C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\ReportServer_log.ldf,,,,,,,,FALSE,,1,WIN-DEMO-APP03 [SQLNCLI] -> WIN-DEMO-APP03,0,,,TRUE,0,,9,MSTAR_Test; PerfCountersCollect; PerfCountersUpload; QueryActivityCollect; QueryActivityUpload; SqlTraceCollect; SqlTraceUpload; TSQLQueryCollect; TSQLQueryUpload,0,,NULL,0,0,,,TRUE,0,,0,,NULL,0,0,,
WIN-DEMO-APP01.mstar.lab,WIN-DEMO-APP01,ReportServerTempDB,ONLINE,Developer Edition (64-bit),13.0.5026.0,4,1,4,FALSE,,6144,SP2,TRUE,Running,FALSE,16.00,8.00,8.00,130,FALSE,ReportServerTempDB [ROWS] Size=8.00 MB; Max=UNLIMITED; Growth=64.00 MB; ReportServerTempDB_log [LOG] Size=8.00 MB; Max=2097152.00 MB; Growth=64.00 MB,ROWS: C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\ReportServerTempDB.mdf; LOG: C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\ReportServerTempDB_log.ldf,,,,,,,,FALSE,,1,WIN-DEMO-APP03 [SQLNCLI] -> WIN-DEMO-APP03,0,,,TRUE,0,,9,MSTAR_Test; PerfCountersCollect; PerfCountersUpload; QueryActivityCollect; QueryActivityUpload; SqlTraceCollect; SqlTraceUpload; TSQLQueryCollect; TSQLQueryUpload,0,,NULL,0,0,,,TRUE,0,,0,,NULL,0,0,,
WIN-DEMO-APP01.mstar.lab,WIN-DEMO-APP01,SSISDB,ONLINE,Developer Edition (64-bit),13.0.5026.0,4,1,4,FALSE,,6144,SP2,TRUE,Running,FALSE,43.75,40.00,3.75,130,TRUE,data [ROWS] Size=40.00 MB; Max=UNLIMITED; Growth=10%; log [LOG] Size=3.75 MB; Max=2097152.00 MB; Growth=10%,ROWS: C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\SSISDB.mdf; LOG: C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\SSISDB.ldf,,,,,,,,FALSE,,1,WIN-DEMO-APP03 [SQLNCLI] -> WIN-DEMO-APP03,0,,,TRUE,0,,9,MSTAR_Test; PerfCountersCollect; PerfCountersUpload; QueryActivityCollect; QueryActivityUpload; SqlTraceCollect; SqlTraceUpload; TSQLQueryCollect; TSQLQueryUpload,0,,NULL,0,0,,,TRUE,0,,0,,NULL,0,0,,
