"Category","ServerName","Name","DisplayName","FeatureType","Path","Depth","Parent"
"Feature","LAB-DC01","File-Services","File and iSCSI Services","Role Service","File and Storage Services\File and iSCSI Services","2","FileAndStorage-Services"
"Feature","LAB-DC01","FS-FileServer","File Server","Role Service","File and Storage Services\File and iSCSI Services\File Server","3","File-Services"
"Feature","LAB-DC01","Storage-Services","Storage Services","Role Service","File and Storage Services\Storage Services","2","FileAndStorage-Services"
"Feature","LAB-DC01","NET-Framework-45-Features",".NET Framework 4.6 Features","Feature",".NET Framework 4.6 Features","1",
"Feature","LAB-DC01","NET-Framework-45-Core",".NET Framework 4.6","Feature",".NET Framework 4.6 Features\.NET Framework 4.6","2","NET-Framework-45-Features"
"Feature","LAB-DC01","NET-WCF-Services45","WCF Services","Feature",".NET Framework 4.6 Features\WCF Services","2","NET-Framework-45-Features"
"Feature","LAB-DC01","NET-WCF-TCP-PortSharing45","TCP Port Sharing","Feature",".NET Framework 4.6 Features\WCF Services\TCP Port Sharing","3","NET-WCF-Services45"
"Feature","LAB-DC01","GPMC","Group Policy Management","Feature","Group Policy Management","1",
"Feature","LAB-DC01","RSAT","Remote Server Administration Tools","Feature","Remote Server Administration Tools","1",
"Feature","LAB-DC01","RSAT-Role-Tools","Role Administration Tools","Feature","Remote Server Administration Tools\Role Administration Tools","2","RSAT"
"Feature","LAB-DC01","RSAT-AD-Tools","AD DS and AD LDS Tools","Feature","Remote Server Administration Tools\Role Administration Tools\AD DS and AD LDS Tools","3","RSAT-Role-Tools"
"Feature","LAB-DC01","RSAT-AD-PowerShell","Active Directory module for Windows PowerShell","Feature","Remote Server Administration Tools\Role Administration Tools\AD DS and AD LDS Tools\Active Directory module for Windows PowerShell","4","RSAT-AD-Tools"
"Feature","LAB-DC01","RSAT-ADDS","AD DS Tools","Feature","Remote Server Administration Tools\Role Administration Tools\AD DS and AD LDS Tools\AD DS Tools","4","RSAT-AD-Tools"
"Feature","LAB-DC01","RSAT-AD-AdminCenter","Active Directory Administrative Center","Feature","Remote Server Administration Tools\Role Administration Tools\AD DS and AD LDS Tools\AD DS Tools\Active Directory Administrative Center","5","RSAT-ADDS"
