"Server name","Cluster","IP addresses","PowerState","Cores","Memory (In MB)","Guest memory usage current (MB)","Guest memory usage current percentage","OS name","OS version","OS architecture","Server type","Hypervisor","CPU utilization percentage average","CPU utilization percentage maximum","CPU ready percentage average","CPU ready percentage maximum","Memory active percentage average","Memory active percentage maximum","Memory consumed average (MB)","Memory consumed maximum (MB)","Memory balloon average (MB)","Memory balloon maximum (MB)","Network adapters","Network In throughput average (MB per second)","Network In throughput maximum (MB per second)","Network Out throughput average (MB per second)","Network Out throughput maximum (MB per second)","CPU utilization percentage P95","CPU ready percentage P95","Memory active percentage P95","Memory consumed P95 (MB)","Memory balloon P95 (MB)","Network In throughput P95 (MB per second)","Network Out throughput P95 (MB per second)","Boot Type","Number of disks","Storage in use (In GB)","Disk 1 size (In GB)","Disk 1 read throughput average (MB per second)","Disk 1 read throughput maximum (MB per second)","Disk 1 read throughput P95 (MB per second)","Disk 1 write throughput average (MB per second)","Disk 1 write throughput maximum (MB per second)","Disk 1 write throughput P95 (MB per second)","Disk 1 read ops average (operations per second)","Disk 1 read ops maximum (operations per second)","Disk 1 read ops P95 (operations per second)","Disk 1 write ops average (operations per second)","Disk 1 write ops maximum (operations per second)","Disk 1 write ops P95 (operations per second)","Disk 1 data status","Disk 2 size (In GB)","Disk 2 read throughput average (MB per second)","Disk 2 read throughput maximum (MB per second)","Disk 2 read throughput P95 (MB per second)","Disk 2 write throughput average (MB per second)","Disk 2 write throughput maximum (MB per second)","Disk 2 write throughput P95 (MB per second)","Disk 2 read ops average (operations per second)","Disk 2 read ops maximum (operations per second)","Disk 2 read ops P95 (operations per second)","Disk 2 write ops average (operations per second)","Disk 2 write ops maximum (operations per second)","Disk 2 write ops P95 (operations per second)","Disk 2 data status"
"WIN-DEMO-APP01","(standalone ESXi)","","PoweredOn","4","8192","245","2.99","Microsoft Windows Server 2016 (64-bit)","2016","64-bit","Virtual","Vmware","3.33","8.81","0.79","1.61","3.87","14.99","5409.98","5409.98","0","0","1","0","0.04","0","0.03","3.59","1.33","9.99","5409.98","0","0","0","UEFI","1","68.09","60","0","0.05","0","0.01","0.06","0.02","0.01","1","0","0.23","4","1","OK",,,,,,,,,,,,,,
"WIN-DEMO-APP03","(standalone ESXi)","","PoweredOn","2","4096","245","5.98","Microsoft Windows Server 2019 (64-bit)","2019","64-bit","Virtual","Vmware","3.81","14.64","0.92","2.02","6.88","21.99","4095.97","4095.97","0","0","1","0","0.01","0","0.03","4.12","1.63","15.99","4095.97","0","0","0","UEFI","2","94.08","40","0","0.13","0","0.01","0.07","0.01","0.02","2","0","0.21","5","1","OK","50","0","0","0","0","0","0","0","0","0","0","0","0","OK"
"Test","(standalone ESXi)","","PoweredOn","2","4096","204","4.98","Microsoft Windows Server 2019 (64-bit)","2019","64-bit","Virtual","Vmware","0.52","8.92","0.19","0.39","5.03","22.99","4095.9","4095.9","0","0","1","0","0","0","0.03","0.63","0.3","13.99","4095.9","0","0","0","UEFI","1","44.08","40","0","0.01","0","0.01","0.05","0.02","0.01","1","0","0.47","2","2","OK",,,,,,,,,,,,,,
