"Server name","Cluster","IP addresses","PowerState","Cores","Memory (In MB)","OS name","OS version","OS architecture","Server type","Hypervisor","CPU utilization percentage average","CPU utilization percentage maximum","Memory utilization percentage average","Memory utilization percentage maximum","Network adapters","Network In throughput average (MB per second)","Network In throughput maximum (MB per second)","Network Out throughput average (MB per second)","Network Out throughput maximum (MB per second)","Boot Type","Number of disks","Storage in use (In GB)","Disk 1 size (In GB)","Disk 1 read throughput average (MB per second)","Disk 1 read throughput maximum (MB per second)","Disk 1 write throughput average (MB per second)","Disk 1 write throughput maximum (MB per second)","Disk 1 read ops average (operations per second)","Disk 1 read ops maximum (operations per second)","Disk 1 write ops average (operations per second)","Disk 1 write ops maximum (operations per second)","Disk 1 data status","Disk 2 size (In GB)","Disk 2 read throughput average (MB per second)","Disk 2 read throughput maximum (MB per second)","Disk 2 write throughput average (MB per second)","Disk 2 write throughput maximum (MB per second)","Disk 2 read ops average (operations per second)","Disk 2 read ops maximum (operations per second)","Disk 2 write ops average (operations per second)","Disk 2 write ops maximum (operations per second)","Disk 2 data status"
"WIN-DEMO-APP01","(standalone ESXi)","","PoweredOn","4","8192","Microsoft Windows Server 2016 (64-bit)","2016","64-bit","Virtual","Vmware","0.62","17.91","9.42","98.99","1","0","0","0","0","UEFI","1","68.08","60","0.09","8.19","0.01","0.32","4.68","420","0.49","20","OK",,,,,,,,,,
"test","(standalone ESXi)","","PoweredOn","2","4096","Microsoft Windows Server 2019 (64-bit)","2019","64-bit","Virtual","Vmware","0.88","27.75","10.96","98.99","1","0","0","0","0","UEFI","2","94.08","40","0.11","10.18","0.02","0.61","4.81","591","1.08","58","OK","50","0","0","0","0","0.01","1","0","0","OK"
