"Category","ServerName","Name","DisplayName","FeatureType","Path","Depth","Parent"
"Role","192.168.149.10","AD-Domain-Services","Active Directory Domain Services","Role","Active Directory Domain Services","1",
"Role","192.168.149.10","DNS","DNS Server","Role","DNS Server","1",
"Role","192.168.149.10","FileAndStorage-Services","File and Storage Services","Role","File and Storage Services","1",
"Role","192.168.149.130","FileAndStorage-Services","File and Storage Services","Role","File and Storage Services","1",
"Role","192.168.149.132","FileAndStorage-Services","File and Storage Services","Role","File and Storage Services","1",
